Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BTPNAP-26 Kelola Stok,,,2017-11-29 16:03:09,2017-11-29 16:04:51,1m - 42.641s,FAILED
,,,,,,
Test Cases/TC-1,,BTPNAP 26 - Stock - All Search Product,2017-11-29 16:03:09,2017-11-29 16:04:14,1m - 5.432s,FAILED
startApplication,,,2017-11-29 16:03:10,2017-11-29 16:04:09,59.690s,PASSED
tap,,,2017-11-29 16:04:09,2017-11-29 16:04:14,5.099s,FAILED
,,,,,,
Test Cases/TC-2,,,2017-11-29 16:04:15,2017-11-29 16:04:20,5.308s,FAILED
tap,,,2017-11-29 16:04:15,2017-11-29 16:04:20,5.173s,FAILED
,,,,,,
Test Cases/TC-3,,,2017-11-29 16:04:20,2017-11-29 16:04:25,5.187s,FAILED
tap,,,2017-11-29 16:04:20,2017-11-29 16:04:25,5.036s,FAILED
,,,,,,
Test Cases/TC-4,,,2017-11-29 16:04:25,2017-11-29 16:04:30,5.126s,FAILED
clearText,,,2017-11-29 16:04:25,2017-11-29 16:04:30,5.028s,FAILED
,,,,,,
Test Cases/TC-5,,,2017-11-29 16:04:30,2017-11-29 16:04:36,5.192s,FAILED
clearText,,,2017-11-29 16:04:30,2017-11-29 16:04:36,5.044s,FAILED
