Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Product - UserJourney,,,2018-09-06 16:07:19,2018-09-06 16:18:08,10m - 48.241s,FAILED
,,,,,,
Test Cases/Smoked Test/Release 2/Product/Product - Tambah Barang,,,2018-09-06 16:07:20,2018-09-06 16:17:02,9m - 42.095s,FAILED
comment,,,2018-09-06 16:07:21,2018-09-06 16:07:21,0.052s,PASSED
Statement - apkPath = apkName,,"Call ""apk"" from Global Variabel
",2018-09-06 16:07:21,2018-09-06 16:07:21,0.012s,PASSED
startApplication,,Start Application,2018-09-06 16:07:21,2018-09-06 16:07:55,34.618s,PASSED
delay,,"Give delay for install ""apk""",2018-09-06 16:07:55,2018-09-06 16:08:10,15.017s,PASSED
"Comment - ""Look at Comment Description!""",,,2018-09-06 16:08:10,2018-09-06 16:08:10,0.004s,PASSED
"Comment - ""If there is a Update TopuUp, click No, Else you can delay for waiting lazyload """,,,2018-09-06 16:08:10,2018-09-06 16:08:10,0.004s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,"If there is a Update TopuUp, click No, Else you can delay for waiting lazyload ",2018-09-06 16:08:10,2018-09-06 16:08:10,0.032s,PASSED
Statement - action = new io.appium.java_client.TouchAction(driver),,"Function to call appium server to swipe to side
",2018-09-06 16:08:10,2018-09-06 16:08:10,0.011s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,Call function swipe to side,2018-09-06 16:08:10,2018-09-06 16:08:13,3.122s,PASSED
delay,,,2018-09-06 16:08:13,2018-09-06 16:08:21,8.020s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-06 16:08:21,2018-09-06 16:08:24,2.485s,PASSED
delay,,,2018-09-06 16:08:24,2018-09-06 16:08:32,8.009s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-06 16:08:32,2018-09-06 16:08:35,3.026s,PASSED
delay,,,2018-09-06 16:08:35,2018-09-06 16:08:43,8.011s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-06 16:08:43,2018-09-06 16:08:46,2.617s,PASSED
delay,,,2018-09-06 16:08:46,2018-09-06 16:08:54,8.007s,PASSED
waitForElementPresent,,"Wait until the swipe is done to do ""Mulai"" button",2018-09-06 16:08:54,2018-09-06 16:08:56,2.193s,PASSED
