Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Showcase,,,2018-02-22 09:54:43,2018-02-22 09:57:11,2m - 28.642s,PASSED
,,,,,,
Test Cases/Show/Show Test Case,,Show Someone Test Case Appolo  by: Yessi\n\nConsist of :\n1. Tambah Barang\n2. Search Barang\n3. Detail Barang,2018-02-22 09:54:43,2018-02-22 09:57:08,2m - 25.347s,PASSED
comment,,,2018-02-22 09:54:43,2018-02-22 09:54:44,0.048s,PASSED
"Statement - apkPath = com.kms.katalon.core.util.internal.PathUtil.relativeToAbsolutePath(apkName, com.kms.katalon.core.configuration.RunConfiguration.getProjectDir())",,,2018-02-22 09:54:44,2018-02-22 09:54:44,0.011s,PASSED
startApplication,,,2018-02-22 09:54:44,2018-02-22 09:55:01,16.990s,PASSED
comment,,,2018-02-22 09:55:01,2018-02-22 09:55:01,0.004s,PASSED
tap,,"Mengklik \""Daftar Sekarang\"" untuk masuk ke halaman Home/Beranda",2018-02-22 09:55:01,2018-02-22 09:55:07,6.231s,PASSED
verifyElementExist,,,2018-02-22 09:55:07,2018-02-22 09:55:07,0.131s,PASSED
tap,,Mengklik Text Box untuk mengisi Nomor HP/Nama Pengguna,2018-02-22 09:55:07,2018-02-22 09:55:07,0.002s,NOT_RUN
setText,,"Megisi inputan dengan Nama Pengguna \""Yessi\""",2018-02-22 09:55:07,2018-02-22 09:55:07,0.003s,NOT_RUN
hideKeyboard,,Hide Keyboard Device,2018-02-22 09:55:07,2018-02-22 09:55:07,0.002s,NOT_RUN
tap,,Mengklik Button Masuk,2018-02-22 09:55:07,2018-02-22 09:55:07,0.002s,NOT_RUN
waitForElementPresent,,Menunggu action button masuk hingga selesai untuk masuk ke action Input PIN,2018-02-22 09:55:07,2018-02-22 09:55:07,0.002s,NOT_RUN
tap,,Mengklik Text Field Pin,2018-02-22 09:55:07,2018-02-22 09:55:07,0.002s,NOT_RUN
setText,,Menginput PIN Pengguna dengan 6 digit,2018-02-22 09:55:07,2018-02-22 09:55:07,0.003s,NOT_RUN
waitForElementPresent,,Menunggu hingga button sebelum Humburger button di klik,2018-02-22 09:55:07,2018-02-22 09:55:10,2.995s,PASSED
tap,,"Mengklik Hamburger Button kemdian memilih Operasional untuk masuk ke halaman Kasir, Stock, Pengeluaran dan Rincian",2018-02-22 09:55:10,2018-02-22 09:55:11,1.205s,PASSED
tap,,"Mengklik \""Operasional\"" untuk bisa direct ke screen Stock",2018-02-22 09:55:11,2018-02-22 09:55:13,1.993s,PASSED
waitForElementPresent,,,2018-02-22 09:55:13,2018-02-22 09:55:16,2.528s,PASSED
tap,,"Mengklik \""Stok Tabbar\"" untuk bisa ke screen Stock",2018-02-22 09:55:16,2018-02-22 09:55:16,0.631s,PASSED
tap,,"Mengklik button \""Tambah Barang\""",2018-02-22 09:55:16,2018-02-22 09:55:19,2.982s,PASSED
Statement - For (def index : (0..4)),,Melakukan Looping terhadap Plus button di Jumlah Stock,2018-02-22 09:55:19,2018-02-22 09:55:27,7.402s,PASSED
tap,,Mengklik TextBox SKU Produk,2018-02-22 09:55:27,2018-02-22 09:55:28,1.650s,PASSED
setText,,MengInput value dari SKU Produk,2018-02-22 09:55:28,2018-02-22 09:55:43,14.645s,PASSED
verifyElementText,,Memverifikasi value yang di masukan untuk mengecek antara actual text dan expected text,2018-02-22 09:55:43,2018-02-22 09:55:44,1.058s,PASSED
getText,,Mengambil value yang telah di input dan verify,2018-02-22 09:55:44,2018-02-22 09:55:45,0.697s,PASSED
hideKeyboard,,Menghide Keyboard,2018-02-22 09:55:45,2018-02-22 09:55:46,0.840s,PASSED
tap,,Mengklik TetBox Nama Barang,2018-02-22 09:55:46,2018-02-22 09:55:46,0.861s,PASSED
setText,,Mengisi Inputan di field Nama Barang,2018-02-22 09:55:46,2018-02-22 09:56:01,14.662s,PASSED
verifyElementText,,Memverifikasi value yang telah di input pada field Nama Barang,2018-02-22 09:56:01,2018-02-22 09:56:02,0.870s,PASSED
getText,,Mengambil value yang telah berhasil di input dan verify,2018-02-22 09:56:02,2018-02-22 09:56:02,0.270s,PASSED
hideKeyboard,,Menghide Keyboard,2018-02-22 09:56:02,2018-02-22 09:56:03,0.704s,PASSED
swipe,,Menurunkan layar screen ,2018-02-22 09:56:03,2018-02-22 09:56:04,0.581s,PASSED
waitForElementPresent,,"Menunggu hingga layar screen berhasil di turunkan, kemudian melakukan action Pilih Kategori",2018-02-22 09:56:04,2018-02-22 09:56:05,1.003s,PASSED
tap,,Mengklik TextBox Pilih Kategori,2018-02-22 09:56:05,2018-02-22 09:56:05,0.609s,PASSED
tap,,Mengklik TextBox Pilih Kategori,2018-02-22 09:56:05,2018-02-22 09:56:06,1.150s,PASSED
scrollToText,,Melakukan scroll untuk menemukan kategori makanan,2018-02-22 09:56:06,2018-02-22 09:56:11,4.310s,PASSED
tap,,Klik kategori makanan,2018-02-22 09:56:11,2018-02-22 09:56:11,0.407s,PASSED
scrollToText,,,2018-02-22 09:56:11,2018-02-22 09:56:16,4.932s,PASSED
tap,,Mengklik TetBox Harga Jual,2018-02-22 09:56:16,2018-02-22 09:56:16,0.543s,PASSED
setText,,Mengisi Inputan berupa nlai di field Harga Jual,2018-02-22 09:56:16,2018-02-22 09:56:31,14.111s,PASSED
verifyElementText,,Memverifikasi value yang telah di input pada field Harga Jual,2018-02-22 09:56:31,2018-02-22 09:56:32,1.019s,PASSED
getText,,Mengambil value yang telah berhasil di input dan verify,2018-02-22 09:56:32,2018-02-22 09:56:32,0.264s,PASSED
hideKeyboard,,,2018-02-22 09:56:32,2018-02-22 09:56:33,0.651s,PASSED
setText,,Mengklik dan Mengisi Inputan berupa nlai di field Nominal Diskon,2018-02-22 09:56:33,2018-02-22 09:56:42,9.014s,PASSED
getText,,Mengambil value yang telah berhasil di input dan verify,2018-02-22 09:56:42,2018-02-22 09:56:43,1.147s,PASSED
hideKeyboard,,,2018-02-22 09:56:43,2018-02-22 09:56:44,0.866s,PASSED
tap,,Mengklik Simpan Button untuk menyimpan barang,2018-02-22 09:56:44,2018-02-22 09:56:45,1.084s,PASSED
delay,,,2018-02-22 09:56:45,2018-02-22 09:56:47,2.023s,PASSED
takeScreenshot,,,2018-02-22 09:56:47,2018-02-22 09:56:49,2.116s,PASSED
waitForElementPresent,,,2018-02-22 09:56:49,2018-02-22 09:56:49,0.258s,PASSED
comment,,,2018-02-22 09:56:49,2018-02-22 09:56:49,0.003s,PASSED
tap,,Mengklik SearchButton untuk mencari Produk,2018-02-22 09:56:49,2018-02-22 09:56:50,1.160s,PASSED
setText,,"Melakukan Input Text lebih dari satu kata dalam search produk pada kategori \""Makanan\""",2018-02-22 09:56:50,2018-02-22 09:57:01,10.961s,PASSED
verifyElementNotChecked,,Melakukan Verify Element Text yang telah di Input,2018-02-22 09:57:01,2018-02-22 09:57:02,0.816s,PASSED
getText,,Mengambil Text yang telah di input,2018-02-22 09:57:02,2018-02-22 09:57:02,0.276s,PASSED
tap,,,2018-02-22 09:57:02,2018-02-22 09:57:04,1.664s,PASSED
swipe,,,2018-02-22 09:57:04,2018-02-22 09:57:05,0.622s,PASSED
swipe,,,2018-02-22 09:57:05,2018-02-22 09:57:05,0.616s,PASSED
delay,,,2018-02-22 09:57:05,2018-02-22 09:57:08,3.005s,PASSED
