Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sprint 2,,,2018-02-26 10:32:32,2018-02-26 10:36:42,4m - 9.675s,FAILED
,,,,,,
Test Cases/Sprint 2/28 - TC-All,,Kasir Menu,2018-02-26 10:32:33,2018-02-26 10:36:09,3m - 35.913s,PASSED
comment,,,2018-02-26 10:32:33,2018-02-26 10:32:33,0.046s,PASSED
"Statement - apkPath = com.kms.katalon.core.util.internal.PathUtil.relativeToAbsolutePath(apkName, com.kms.katalon.core.configuration.RunConfiguration.getProjectDir())",,Step 1 - [Melakukan Kelola Stock],2018-02-26 10:32:33,2018-02-26 10:32:33,0.011s,PASSED
startApplication,,,2018-02-26 10:32:33,2018-02-26 10:32:51,17.485s,PASSED
tap,,"Mengklik \""Daftar Sekarang\"" untuk masuk ke halaman Home/Beranda",2018-02-26 10:32:51,2018-02-26 10:32:58,7.377s,PASSED
verifyElementExist,,,2018-02-26 10:32:58,2018-02-26 10:32:58,0.121s,PASSED
tap,,Mengklik Text Box untuk mengisi Nomor HP/Nama Pengguna,2018-02-26 10:32:58,2018-02-26 10:32:58,0.002s,NOT_RUN
setText,,"Megisi inputan dengan Nama Pengguna \""Yessi\""",2018-02-26 10:32:58,2018-02-26 10:32:58,0.008s,NOT_RUN
hideKeyboard,,Hide Keyboard Device,2018-02-26 10:32:58,2018-02-26 10:32:58,0.002s,NOT_RUN
tap,,Mengklik Button Masuk,2018-02-26 10:32:58,2018-02-26 10:32:58,0.001s,NOT_RUN
waitForElementPresent,,Menunggu action button masuk hingga selesai untuk masuk ke action Input PIN,2018-02-26 10:32:58,2018-02-26 10:32:58,0.001s,NOT_RUN
tap,,Mengklik Text Field Pin,2018-02-26 10:32:58,2018-02-26 10:32:58,0.001s,NOT_RUN
setText,,Menginput PIN Pengguna dengan 6 digit,2018-02-26 10:32:58,2018-02-26 10:32:58,0.001s,NOT_RUN
waitForElementPresent,,Menunggu hingga button sebelum Humburger button di klik,2018-02-26 10:32:58,2018-02-26 10:33:02,3.529s,PASSED
tap,,"Mengklik Hamburger Button kemdian memilih Operasional untuk masuk ke halaman Kasir, Stock, Pengeluaran dan Rincian",2018-02-26 10:33:02,2018-02-26 10:33:03,1.459s,PASSED
tap,,"Mengklik \""Operasional\"" untuk bisa direct ke screen Stock",2018-02-26 10:33:03,2018-02-26 10:33:05,2.056s,PASSED
delay,,,2018-02-26 10:33:05,2018-02-26 10:33:10,5.029s,PASSED
