Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Story 1770 - Additional Biaya Tambahan in shoopping cart,,,2018-09-13 09:48:04,2018-09-13 10:39:05,51m - 1.460s,FAILED
,,,,,,
Test Cases/Release 3 - Squad Hades/Sprint 1/Story 1770 - Additional Biaya Tambahan in shoopping cart/TC 1 - View Biaya tambahan field and button in shopping cart,,,2018-09-13 09:48:05,2018-09-13 09:53:23,5m - 18.175s,PASSED
comment,,,2018-09-13 09:48:05,2018-09-13 09:48:05,0.066s,PASSED
Statement - apkPath = apkName,,,2018-09-13 09:48:05,2018-09-13 09:48:05,0.022s,PASSED
startApplication,,,2018-09-13 09:48:05,2018-09-13 09:48:47,41.804s,PASSED
delay,,,2018-09-13 09:48:47,2018-09-13 09:49:02,14.654s,PASSED
"Comment - ""If there is a Update TopuUp, click No, Else you can delay for waiting lazyload """,,,2018-09-13 09:49:02,2018-09-13 09:49:02,0.000s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,"If there is a Update TopuUp, click No, Else you can delay for waiting lazyload ",2018-09-13 09:49:02,2018-09-13 09:49:02,0.058s,PASSED
Statement - action = new io.appium.java_client.TouchAction(driver),,,2018-09-13 09:49:02,2018-09-13 09:49:02,0.033s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-13 09:49:02,2018-09-13 09:49:04,2.360s,PASSED
delay,,,2018-09-13 09:49:04,2018-09-13 09:49:12,7.808s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-13 09:49:12,2018-09-13 09:49:15,2.825s,PASSED
delay,,,2018-09-13 09:49:15,2018-09-13 09:49:22,7.807s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-13 09:49:22,2018-09-13 09:49:25,2.814s,PASSED
delay,,,2018-09-13 09:49:25,2018-09-13 09:49:33,7.808s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-13 09:49:33,2018-09-13 09:49:36,2.950s,PASSED
delay,,,2018-09-13 09:49:36,2018-09-13 09:49:44,7.994s,PASSED
waitForElementPresent,,,2018-09-13 09:49:44,2018-09-13 09:49:46,2.395s,PASSED
tap,,,2018-09-13 09:49:46,2018-09-13 09:49:53,6.764s,PASSED
comment,,,2018-09-13 09:49:53,2018-09-13 09:49:53,0.000s,PASSED
comment,,,2018-09-13 09:49:53,2018-09-13 09:49:53,0.016s,PASSED
waitForElementPresent,,Wait until Nomor HP/Nama Pengguna Textbox present,2018-09-13 09:49:53,2018-09-13 09:49:57,4.235s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action  ,2018-09-13 09:49:57,2018-09-13 09:50:02,4.615s,PASSED
setText,,SetText to Nomor HP/Nama Pengguna Textbox,2018-09-13 09:50:02,2018-09-13 09:50:23,20.755s,PASSED
hideKeyboard,,Hide Keyboard,2018-09-13 09:50:23,2018-09-13 09:50:24,1.561s,PASSED
verifyElementText,,Verify Element Nomor HP/Nama Pengguna which has been you set  ,2018-09-13 09:50:24,2018-09-13 09:50:28,3.805s,PASSED
waitForElementPresent,,Wait until Masuk Button  present,2018-09-13 09:50:28,2018-09-13 09:50:31,2.671s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action ,2018-09-13 09:50:31,2018-09-13 09:50:35,3.999s,PASSED
tap,,Click Masuk Button,2018-09-13 09:50:35,2018-09-13 09:50:42,6.968s,PASSED
waitForElementPresent,,Wait until Input Pin Textbox  present,2018-09-13 09:50:42,2018-09-13 09:50:47,5.061s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Pin Textbox  with content-desc  to do action ,2018-09-13 09:50:47,2018-09-13 09:50:51,4.115s,PASSED
tap,,Click Input Pin TextBox,2018-09-13 09:50:51,2018-09-13 09:50:57,5.593s,PASSED
setText,,SetText to PIN Textbox,2018-09-13 09:50:57,2018-09-13 09:51:21,23.939s,PASSED
delay,,,2018-09-13 09:51:21,2018-09-13 09:51:26,5.032s,PASSED
