Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Story 1799 - Request OR Conect EDC,,,2018-09-07 16:03:27,2018-09-07 16:18:49,15m - 21.807s,FAILED
,,,,,,
Test Cases/Release 3 - Squad Hades/Sprint 1/Story 1799 - Request OR Conect EDC/TC 1 - View EDC screen and check contain,,,2018-09-07 16:03:28,2018-09-07 16:08:24,4m - 55.958s,PASSED
comment,,Start Login Test Case,2018-09-07 16:03:29,2018-09-07 16:03:29,0.071s,PASSED
Statement - apkPath = apkName,,,2018-09-07 16:03:29,2018-09-07 16:03:29,0.020s,PASSED
startApplication,,,2018-09-07 16:03:29,2018-09-07 16:04:03,34.652s,PASSED
delay,,,2018-09-07 16:04:03,2018-09-07 16:04:18,15.035s,PASSED
"Comment - ""If there is a Update TopuUp, click No, Else you can delay for waiting lazyload """,,,2018-09-07 16:04:18,2018-09-07 16:04:18,0.004s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,"If there is a Update TopuUp, click No, Else you can delay for waiting lazyload ",2018-09-07 16:04:18,2018-09-07 16:04:18,0.040s,PASSED
Statement - action = new io.appium.java_client.TouchAction(driver),,,2018-09-07 16:04:18,2018-09-07 16:04:18,0.016s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-07 16:04:18,2018-09-07 16:04:21,2.636s,PASSED
delay,,,2018-09-07 16:04:21,2018-09-07 16:04:29,8.011s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-07 16:04:29,2018-09-07 16:04:32,2.954s,PASSED
delay,,,2018-09-07 16:04:32,2018-09-07 16:04:40,8.013s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-07 16:04:40,2018-09-07 16:04:43,3.046s,PASSED
delay,,,2018-09-07 16:04:43,2018-09-07 16:04:51,8.010s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-07 16:04:51,2018-09-07 16:04:54,2.736s,PASSED
delay,,,2018-09-07 16:04:54,2018-09-07 16:05:02,8.012s,PASSED
waitForElementPresent,,,2018-09-07 16:05:02,2018-09-07 16:05:09,7.209s,PASSED
verifyElementAttributeValue,,,2018-09-07 16:05:09,2018-09-07 16:05:14,4.580s,PASSED
tap,,,2018-09-07 16:05:14,2018-09-07 16:05:22,8.295s,PASSED
waitForElementPresent,,Wait until Nomor HP/Nama Pengguna Textbox present,2018-09-07 16:05:22,2018-09-07 16:05:29,6.636s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action  ,2018-09-07 16:05:29,2018-09-07 16:05:33,4.051s,PASSED
setText,,SetText to Nomor HP/Nama Pengguna Textbox,2018-09-07 16:05:33,2018-09-07 16:05:54,21.229s,PASSED
hideKeyboard,,Hide Keyboard,2018-09-07 16:05:54,2018-09-07 16:05:55,1.534s,PASSED
verifyElementText,,Verify Element Nomor HP/Nama Pengguna which has been you set  ,2018-09-07 16:05:55,2018-09-07 16:06:00,4.935s,PASSED
waitForElementPresent,,Wait until Masuk Button  present,2018-09-07 16:06:00,2018-09-07 16:06:07,6.974s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action ,2018-09-07 16:06:07,2018-09-07 16:06:13,5.288s,PASSED
tap,,Click Masuk Button,2018-09-07 16:06:13,2018-09-07 16:06:18,5.486s,PASSED
waitForElementPresent,,Wait until Input Pin Textbox  present,2018-09-07 16:06:18,2018-09-07 16:06:25,7.270s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Pin Textbox  with content-desc  to do action ,2018-09-07 16:06:25,2018-09-07 16:06:33,7.233s,PASSED
tap,,Click Input Pin TextBox,2018-09-07 16:06:33,2018-09-07 16:06:42,9.507s,PASSED
setText,,SetText to PIN Textbox,2018-09-07 16:06:42,2018-09-07 16:07:04,21.631s,PASSED
delay,,,2018-09-07 16:07:04,2018-09-07 16:07:09,5.022s,PASSED
comment,,End Login Test Case,2018-09-07 16:07:09,2018-09-07 16:07:09,0.008s,PASSED
waitForElementPresent,,Wait until HamburgerButton on the Sidebar  present,2018-09-07 16:07:09,2018-09-07 16:07:12,3.049s,PASSED
verifyElementAttributeValue,,Verify Element HamburgerButton that have value content desc to do action,2018-09-07 16:07:12,2018-09-07 16:07:18,5.656s,PASSED
tap,,Click Hamburger Button,2018-09-07 16:07:18,2018-09-07 16:07:24,6.573s,PASSED
verifyElementAttributeValue,,,2018-09-07 16:07:24,2018-09-07 16:07:30,6.047s,PASSED
tap,,,2018-09-07 16:07:30,2018-09-07 16:07:38,7.604s,PASSED
verifyElementVisible,,,2018-09-07 16:07:38,2018-09-07 16:07:45,7.493s,PASSED
verifyElementAttributeValue,,,2018-09-07 16:07:45,2018-09-07 16:07:50,4.570s,PASSED
verifyElementVisible,,,2018-09-07 16:07:50,2018-09-07 16:07:54,4.049s,PASSED
verifyElementAttributeValue,,,2018-09-07 16:07:54,2018-09-07 16:07:58,3.996s,PASSED
waitForElementPresent,,,2018-09-07 16:07:58,2018-09-07 16:08:01,3.509s,PASSED
verifyElementAttributeValue,,,2018-09-07 16:08:01,2018-09-07 16:08:08,6.993s,PASSED
tap,,,2018-09-07 16:08:08,2018-09-07 16:08:14,5.965s,PASSED
delay,,,2018-09-07 16:08:14,2018-09-07 16:08:16,2.008s,PASSED
closeApplication,,,2018-09-07 16:08:16,2018-09-07 16:08:24,7.859s,PASSED
,,,,,,
Test Cases/Release 3 - Squad Hades/Sprint 1/Story 1799 - Request OR Conect EDC/TC 3 - Check EDC status while EDS is connected,,,2018-09-07 16:08:24,2018-09-07 16:13:36,5m - 11.955s,PASSED
