Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Story 2019 - Display Comming Soon screen on Rekening Bisnis,,,2018-09-18 13:31:44,2018-09-18 13:51:47,20m - 2.719s,PASSED
,,,,,,
Test Cases/Release 3 - Squad Hades/Sprint 2/Story 2019 - Display Comming Soon screen on Rekening Bisnis/TC 1 - View Tambah Biaya screen,,,2018-09-18 13:31:45,2018-09-18 13:36:34,4m - 49.029s,PASSED
comment,,,2018-09-18 13:31:46,2018-09-18 13:31:46,0.165s,PASSED
Statement - apkPath = apkName,,,2018-09-18 13:31:46,2018-09-18 13:31:46,0.030s,PASSED
startApplication,,,2018-09-18 13:31:46,2018-09-18 13:32:26,39.162s,PASSED
delay,,,2018-09-18 13:32:26,2018-09-18 13:32:41,15.020s,PASSED
"Comment - ""If there is a Update TopuUp, click No, Else you can delay for waiting lazyload """,,,2018-09-18 13:32:41,2018-09-18 13:32:41,0.013s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,"If there is a Update TopuUp, click No, Else you can delay for waiting lazyload ",2018-09-18 13:32:41,2018-09-18 13:32:41,0.039s,PASSED
Statement - action = new io.appium.java_client.TouchAction(driver),,,2018-09-18 13:32:41,2018-09-18 13:32:41,0.011s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-18 13:32:41,2018-09-18 13:32:43,2.747s,PASSED
delay,,,2018-09-18 13:32:43,2018-09-18 13:32:52,8.023s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-18 13:32:52,2018-09-18 13:32:54,2.433s,PASSED
delay,,,2018-09-18 13:32:54,2018-09-18 13:33:02,8.012s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-18 13:33:02,2018-09-18 13:33:05,2.818s,PASSED
delay,,,2018-09-18 13:33:05,2018-09-18 13:33:13,8.005s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-18 13:33:13,2018-09-18 13:33:15,2.520s,PASSED
delay,,,2018-09-18 13:33:15,2018-09-18 13:33:23,8.015s,PASSED
waitForElementPresent,,,2018-09-18 13:33:23,2018-09-18 13:33:30,6.247s,PASSED
tap,,,2018-09-18 13:33:30,2018-09-18 13:33:39,9.873s,PASSED
comment,,,2018-09-18 13:33:39,2018-09-18 13:33:39,0.014s,PASSED
comment,,,2018-09-18 13:33:39,2018-09-18 13:33:39,0.006s,PASSED
waitForElementPresent,,Wait until Nomor HP/Nama Pengguna Textbox present,2018-09-18 13:33:39,2018-09-18 13:33:42,2.753s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action  ,2018-09-18 13:33:42,2018-09-18 13:33:46,3.727s,PASSED
setText,,SetText to Nomor HP/Nama Pengguna Textbox,2018-09-18 13:33:46,2018-09-18 13:34:05,19.124s,PASSED
hideKeyboard,,Hide Keyboard,2018-09-18 13:34:05,2018-09-18 13:34:06,0.659s,PASSED
verifyElementText,,Verify Element Nomor HP/Nama Pengguna which has been you set  ,2018-09-18 13:34:06,2018-09-18 13:34:10,4.264s,PASSED
waitForElementPresent,,Wait until Masuk Button  present,2018-09-18 13:34:10,2018-09-18 13:34:18,7.679s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action ,2018-09-18 13:34:18,2018-09-18 13:34:26,8.129s,PASSED
tap,,Click Masuk Button,2018-09-18 13:34:26,2018-09-18 13:34:32,6.025s,PASSED
waitForElementPresent,,Wait until Input Pin Textbox  present,2018-09-18 13:34:32,2018-09-18 13:34:36,3.927s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Pin Textbox  with content-desc  to do action ,2018-09-18 13:34:36,2018-09-18 13:34:40,4.048s,PASSED
tap,,Click Input Pin TextBox,2018-09-18 13:34:40,2018-09-18 13:34:51,11.021s,PASSED
setText,,SetText to PIN Textbox,2018-09-18 13:34:51,2018-09-18 13:35:12,21.277s,PASSED
delay,,,2018-09-18 13:35:12,2018-09-18 13:35:17,5.011s,PASSED
comment,,End Login Test Case,2018-09-18 13:35:17,2018-09-18 13:35:17,0.011s,PASSED
waitForElementPresent,,Wait until HamburgerButton on the Sidebar  present,2018-09-18 13:35:17,2018-09-18 13:35:29,12.168s,PASSED
verifyElementAttributeValue,,Verify Element HamburgerButton that have value content desc to do action,2018-09-18 13:35:29,2018-09-18 13:35:33,4.037s,PASSED
tap,,Click Hamburger Button,2018-09-18 13:35:33,2018-09-18 13:35:42,8.169s,PASSED
comment,,,2018-09-18 13:35:42,2018-09-18 13:35:42,0.010s,PASSED
waitForElementPresent,,,2018-09-18 13:35:42,2018-09-18 13:35:47,5.758s,PASSED
verifyElementAttributeValue,,,2018-09-18 13:35:47,2018-09-18 13:35:54,6.726s,PASSED
tap,,,2018-09-18 13:35:54,2018-09-18 13:36:01,6.619s,PASSED
waitForElementPresent,,,2018-09-18 13:36:01,2018-09-18 13:36:05,3.859s,PASSED
verifyElementAttributeValue,,,2018-09-18 13:36:05,2018-09-18 13:36:09,4.115s,PASSED
tap,,,2018-09-18 13:36:09,2018-09-18 13:36:14,5.374s,PASSED
verifyElementVisible,,,2018-09-18 13:36:14,2018-09-18 13:36:18,3.774s,PASSED
verifyElementVisible,,,2018-09-18 13:36:18,2018-09-18 13:36:19,1.584s,PASSED
delay,,,2018-09-18 13:36:19,2018-09-18 13:36:24,5.003s,PASSED
closeApplication,,,2018-09-18 13:36:24,2018-09-18 13:36:32,7.816s,PASSED
,,,,,,
Test Cases/Release 3 - Squad Hades/Sprint 2/Story 2019 - Display Comming Soon screen on Rekening Bisnis/TC 2 - Click Bayar Via Apps button,,,2018-09-18 13:36:34,2018-09-18 13:41:18,4m - 43.936s,PASSED
comment,,,2018-09-18 13:36:35,2018-09-18 13:36:35,0.021s,PASSED
Statement - apkPath = apkName,,,2018-09-18 13:36:35,2018-09-18 13:36:35,0.036s,PASSED
startApplication,,,2018-09-18 13:36:35,2018-09-18 13:37:13,38.502s,PASSED
delay,,,2018-09-18 13:37:13,2018-09-18 13:37:28,15.003s,PASSED
"Comment - ""If there is a Update TopuUp, click No, Else you can delay for waiting lazyload """,,,2018-09-18 13:37:28,2018-09-18 13:37:28,0.000s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,"If there is a Update TopuUp, click No, Else you can delay for waiting lazyload ",2018-09-18 13:37:28,2018-09-18 13:37:28,0.002s,PASSED
Statement - action = new io.appium.java_client.TouchAction(driver),,,2018-09-18 13:37:28,2018-09-18 13:37:28,0.002s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-18 13:37:28,2018-09-18 13:37:31,2.725s,PASSED
delay,,,2018-09-18 13:37:31,2018-09-18 13:37:39,8.004s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-18 13:37:39,2018-09-18 13:37:42,2.760s,PASSED
delay,,,2018-09-18 13:37:42,2018-09-18 13:37:50,8.003s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-18 13:37:50,2018-09-18 13:37:53,2.770s,PASSED
delay,,,2018-09-18 13:37:53,2018-09-18 13:38:01,8.004s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-18 13:38:01,2018-09-18 13:38:03,2.344s,PASSED
delay,,,2018-09-18 13:38:03,2018-09-18 13:38:11,8.003s,PASSED
waitForElementPresent,,,2018-09-18 13:38:11,2018-09-18 13:38:14,2.627s,PASSED
tap,,,2018-09-18 13:38:14,2018-09-18 13:38:20,6.530s,PASSED
comment,,,2018-09-18 13:38:20,2018-09-18 13:38:20,0.002s,PASSED
