Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Story 2026 - Display Comming Soon screen Printer,,,2018-09-14 15:51:59,2018-09-14 16:11:30,19m - 31.228s,PASSED
,,,,,,
Test Cases/Release 3 - Squad Hades/Sprint 2/Story 2026 - Display Comming Soon screen Printer/TC 1 - View Store screen,,,2018-09-14 15:51:59,2018-09-14 15:56:28,4m - 28.916s,PASSED
comment,,,2018-09-14 15:52:00,2018-09-14 15:52:01,0.076s,PASSED
Statement - apkPath = apkName,,,2018-09-14 15:52:01,2018-09-14 15:52:01,0.023s,PASSED
startApplication,,,2018-09-14 15:52:01,2018-09-14 15:52:37,36.284s,PASSED
delay,,,2018-09-14 15:52:37,2018-09-14 15:52:52,15.023s,PASSED
"Comment - ""If there is a Update TopuUp, click No, Else you can delay for waiting lazyload """,,,2018-09-14 15:52:52,2018-09-14 15:52:52,0.009s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,"If there is a Update TopuUp, click No, Else you can delay for waiting lazyload ",2018-09-14 15:52:52,2018-09-14 15:52:52,0.034s,PASSED
Statement - action = new io.appium.java_client.TouchAction(driver),,,2018-09-14 15:52:52,2018-09-14 15:52:52,0.018s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-14 15:52:52,2018-09-14 15:52:55,2.626s,PASSED
delay,,,2018-09-14 15:52:55,2018-09-14 15:53:03,8.012s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-14 15:53:03,2018-09-14 15:53:05,2.852s,PASSED
delay,,,2018-09-14 15:53:05,2018-09-14 15:53:13,8.009s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-14 15:53:13,2018-09-14 15:53:16,2.876s,PASSED
delay,,,2018-09-14 15:53:16,2018-09-14 15:53:24,8.004s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-14 15:53:24,2018-09-14 15:53:27,2.355s,PASSED
delay,,,2018-09-14 15:53:27,2018-09-14 15:53:35,8.006s,PASSED
waitForElementPresent,,,2018-09-14 15:53:35,2018-09-14 15:53:39,4.124s,PASSED
tap,,,2018-09-14 15:53:39,2018-09-14 15:53:44,4.781s,PASSED
comment,,,2018-09-14 15:53:44,2018-09-14 15:53:44,0.003s,PASSED
comment,,,2018-09-14 15:53:44,2018-09-14 15:53:44,0.004s,PASSED
waitForElementPresent,,Wait until Nomor HP/Nama Pengguna Textbox present,2018-09-14 15:53:44,2018-09-14 15:53:47,3.433s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action  ,2018-09-14 15:53:47,2018-09-14 15:53:51,4.377s,PASSED
setText,,SetText to Nomor HP/Nama Pengguna Textbox,2018-09-14 15:53:51,2018-09-14 15:54:14,23.064s,PASSED
hideKeyboard,,Hide Keyboard,2018-09-14 15:54:14,2018-09-14 15:54:16,1.245s,PASSED
verifyElementText,,Verify Element Nomor HP/Nama Pengguna which has been you set  ,2018-09-14 15:54:16,2018-09-14 15:54:24,7.883s,PASSED
waitForElementPresent,,Wait until Masuk Button  present,2018-09-14 15:54:24,2018-09-14 15:54:31,7.563s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action ,2018-09-14 15:54:31,2018-09-14 15:54:35,4.282s,PASSED
tap,,Click Masuk Button,2018-09-14 15:54:35,2018-09-14 15:54:41,5.775s,PASSED
waitForElementPresent,,Wait until Input Pin Textbox  present,2018-09-14 15:54:41,2018-09-14 15:54:49,8.009s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Pin Textbox  with content-desc  to do action ,2018-09-14 15:54:49,2018-09-14 15:54:53,4.007s,PASSED
tap,,Click Input Pin TextBox,2018-09-14 15:54:53,2018-09-14 15:54:59,5.888s,PASSED
setText,,SetText to PIN Textbox,2018-09-14 15:54:59,2018-09-14 15:55:26,26.438s,PASSED
delay,,,2018-09-14 15:55:26,2018-09-14 15:55:31,5.009s,PASSED
comment,,End Login Test Case,2018-09-14 15:55:31,2018-09-14 15:55:31,0.004s,PASSED
waitForElementPresent,,Wait until HamburgerButton on the Sidebar  present,2018-09-14 15:55:31,2018-09-14 15:55:34,2.991s,PASSED
comment,,,2018-09-14 15:55:34,2018-09-14 15:55:34,0.004s,PASSED
verifyElementAttributeValue,,Verify Element HamburgerButton that have value content desc to do action,2018-09-14 15:55:34,2018-09-14 15:55:39,5.148s,PASSED
tap,,Click Hamburger Button,2018-09-14 15:55:39,2018-09-14 15:55:44,4.886s,PASSED
verifyElementAttributeValue,,,2018-09-14 15:55:44,2018-09-14 15:55:51,7.162s,PASSED
tap,,,2018-09-14 15:55:51,2018-09-14 15:55:58,7.122s,PASSED
verifyElementVisible,,,2018-09-14 15:55:58,2018-09-14 15:56:03,5.093s,PASSED
verifyElementAttributeValue,,,2018-09-14 15:56:03,2018-09-14 15:56:07,3.986s,PASSED
verifyElementVisible,,,2018-09-14 15:56:07,2018-09-14 15:56:15,8.051s,PASSED
verifyElementAttributeValue,,,2018-09-14 15:56:15,2018-09-14 15:56:19,4.045s,PASSED
closeApplication,,,2018-09-14 15:56:19,2018-09-14 15:56:26,6.907s,PASSED
,,,,,,
Test Cases/Release 3 - Squad Hades/Sprint 2/Story 2026 - Display Comming Soon screen Printer/TC 2 - Click Printer chevron button,,,2018-09-14 15:56:28,2018-09-14 16:01:07,4m - 38.443s,PASSED
comment,,,2018-09-14 15:56:29,2018-09-14 15:56:29,0.007s,PASSED
Statement - apkPath = apkName,,,2018-09-14 15:56:29,2018-09-14 15:56:29,0.004s,PASSED
startApplication,,,2018-09-14 15:56:29,2018-09-14 15:57:06,36.777s,PASSED
delay,,,2018-09-14 15:57:06,2018-09-14 15:57:21,15.005s,PASSED
"Comment - ""If there is a Update TopuUp, click No, Else you can delay for waiting lazyload """,,,2018-09-14 15:57:21,2018-09-14 15:57:21,0.002s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,"If there is a Update TopuUp, click No, Else you can delay for waiting lazyload ",2018-09-14 15:57:21,2018-09-14 15:57:21,0.008s,PASSED
Statement - action = new io.appium.java_client.TouchAction(driver),,,2018-09-14 15:57:21,2018-09-14 15:57:21,0.006s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-14 15:57:21,2018-09-14 15:57:23,2.661s,PASSED
delay,,,2018-09-14 15:57:23,2018-09-14 15:57:31,8.004s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-14 15:57:31,2018-09-14 15:57:34,2.663s,PASSED
delay,,,2018-09-14 15:57:34,2018-09-14 15:57:42,8.004s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-14 15:57:42,2018-09-14 15:57:45,2.692s,PASSED
delay,,,2018-09-14 15:57:45,2018-09-14 15:57:53,8.004s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-09-14 15:57:53,2018-09-14 15:57:55,2.621s,PASSED
delay,,,2018-09-14 15:57:55,2018-09-14 15:58:03,8.004s,PASSED
waitForElementPresent,,,2018-09-14 15:58:03,2018-09-14 15:58:06,2.257s,PASSED
tap,,,2018-09-14 15:58:06,2018-09-14 15:58:11,5.548s,PASSED
comment,,,2018-09-14 15:58:11,2018-09-14 15:58:11,0.004s,PASSED
comment,,,2018-09-14 15:58:11,2018-09-14 15:58:11,0.004s,PASSED
waitForElementPresent,,Wait until Nomor HP/Nama Pengguna Textbox present,2018-09-14 15:58:11,2018-09-14 15:58:15,3.909s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action  ,2018-09-14 15:58:15,2018-09-14 15:58:20,5.083s,PASSED
setText,,SetText to Nomor HP/Nama Pengguna Textbox,2018-09-14 15:58:20,2018-09-14 15:58:40,19.349s,PASSED
hideKeyboard,,Hide Keyboard,2018-09-14 15:58:40,2018-09-14 15:58:41,1.537s,PASSED
verifyElementText,,Verify Element Nomor HP/Nama Pengguna which has been you set  ,2018-09-14 15:58:41,2018-09-14 15:58:49,7.910s,PASSED
waitForElementPresent,,Wait until Masuk Button  present,2018-09-14 15:58:49,2018-09-14 15:58:56,7.524s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action ,2018-09-14 15:58:56,2018-09-14 15:59:01,4.019s,PASSED
tap,,Click Masuk Button,2018-09-14 15:59:01,2018-09-14 15:59:09,8.562s,PASSED
waitForElementPresent,,Wait until Input Pin Textbox  present,2018-09-14 15:59:09,2018-09-14 15:59:17,7.578s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Pin Textbox  with content-desc  to do action ,2018-09-14 15:59:17,2018-09-14 15:59:21,4.594s,PASSED
tap,,Click Input Pin TextBox,2018-09-14 15:59:21,2018-09-14 15:59:27,5.356s,PASSED
setText,,SetText to PIN Textbox,2018-09-14 15:59:27,2018-09-14 15:59:44,17.313s,PASSED
delay,,,2018-09-14 15:59:44,2018-09-14 15:59:49,5.005s,PASSED
