Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Story 26 - Kelola Stock,,As User want to do Kelola Stock,2018-08-07 19:18:47,2018-08-07 19:39:16,20m - 29.799s,FAILED
,,,,,,
Test Cases/Story 26 dan 842 -Kelola Stok Final/26 TC 1 - All Search Product,,All Search Product,2018-08-07 19:18:47,2018-08-07 19:22:53,4m - 5.233s,PASSED
comment,,Kelola Stock - View,2018-08-07 19:18:48,2018-08-07 19:18:48,0.055s,PASSED
comment,,Start Login Test Case,2018-08-07 19:18:48,2018-08-07 19:18:48,0.003s,PASSED
Statement - apkPath = apkName,,,2018-08-07 19:18:48,2018-08-07 19:18:48,0.060s,PASSED
startApplication,,,2018-08-07 19:18:48,2018-08-07 19:19:22,34.192s,PASSED
delay,,,2018-08-07 19:19:22,2018-08-07 19:19:37,15.017s,PASSED
"Comment - ""If there is a Update TopuUp, click No, Else you can delay for waiting lazyload """,,,2018-08-07 19:19:37,2018-08-07 19:19:37,0.005s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,"If there is a Update TopuUp, click No, Else you can delay for waiting lazyload ",2018-08-07 19:19:37,2018-08-07 19:19:37,0.038s,PASSED
Statement - action = new io.appium.java_client.TouchAction(driver),,,2018-08-07 19:19:37,2018-08-07 19:19:37,0.013s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-08-07 19:19:37,2018-08-07 19:19:40,2.754s,PASSED
delay,,,2018-08-07 19:19:40,2018-08-07 19:19:48,8.011s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-08-07 19:19:48,2018-08-07 19:19:51,2.740s,PASSED
delay,,,2018-08-07 19:19:51,2018-08-07 19:19:59,8.008s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-08-07 19:19:59,2018-08-07 19:20:01,2.318s,PASSED
delay,,,2018-08-07 19:20:01,2018-08-07 19:20:09,8.011s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-08-07 19:20:09,2018-08-07 19:20:12,2.512s,PASSED
delay,,,2018-08-07 19:20:12,2018-08-07 19:20:20,8.010s,PASSED
waitForElementPresent,,,2018-08-07 19:20:20,2018-08-07 19:20:22,2.361s,PASSED
tap,,,2018-08-07 19:20:22,2018-08-07 19:20:30,8.303s,PASSED
waitForElementPresent,,Wait until Nomor HP/Nama Pengguna Textbox present,2018-08-07 19:20:30,2018-08-07 19:20:34,3.245s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action  ,2018-08-07 19:20:34,2018-08-07 19:20:41,7.517s,PASSED
setText,,SetText to Nomor HP/Nama Pengguna Textbox,2018-08-07 19:20:41,2018-08-07 19:21:02,21.228s,PASSED
hideKeyboard,,Hide Keyboard,2018-08-07 19:21:02,2018-08-07 19:21:04,1.556s,PASSED
verifyElementText,,Verify Element Nomor HP/Nama Pengguna which has been you set  ,2018-08-07 19:21:04,2018-08-07 19:21:08,3.822s,PASSED
waitForElementPresent,,Wait until Masuk Button  present,2018-08-07 19:21:08,2018-08-07 19:21:10,2.709s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action ,2018-08-07 19:21:10,2018-08-07 19:21:14,4.051s,PASSED
tap,,Click Masuk Button,2018-08-07 19:21:14,2018-08-07 19:21:21,6.895s,PASSED
waitForElementPresent,,Wait until Input Pin Textbox  present,2018-08-07 19:21:21,2018-08-07 19:21:25,4.069s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Pin Textbox  with content-desc  to do action ,2018-08-07 19:21:25,2018-08-07 19:21:30,4.608s,PASSED
tap,,Click Input Pin TextBox,2018-08-07 19:21:30,2018-08-07 19:21:36,5.985s,PASSED
setText,,SetText to PIN Textbox,2018-08-07 19:21:36,2018-08-07 19:21:56,20.035s,PASSED
delay,,,2018-08-07 19:21:56,2018-08-07 19:22:01,5.023s,PASSED
comment,,End Login Test Case,2018-08-07 19:22:01,2018-08-07 19:22:01,0.004s,PASSED
waitForElementPresent,,Wait until HamburgerButton on the Sidebar  present,2018-08-07 19:22:01,2018-08-07 19:22:03,1.761s,PASSED
verifyElementAttributeValue,,Verify Element HamburgerButton that have value content desc to do action,2018-08-07 19:22:03,2018-08-07 19:22:07,4.012s,PASSED
tap,,Click Hamburger Button,2018-08-07 19:22:07,2018-08-07 19:22:14,6.843s,PASSED
waitForElementPresent,,Wait until Produk Button on the Sidebar  present,2018-08-07 19:22:14,2018-08-07 19:22:22,8.757s,PASSED
verifyElementAttributeValue,,Verify Element Produk Button that have value content desc to do action,2018-08-07 19:22:22,2018-08-07 19:22:30,7.990s,PASSED
