Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Story 26 N 842 - Kelola Stock,,As User want to do Kelola Stock,2018-08-09 16:13:35,2018-08-09 16:47:01,33m - 25.921s,FAILED
,,,,,,
Test Cases/Story 26 dan 842 -Kelola Stok Final/26 TC 1 - All Search Product,,All Search Product,2018-08-09 16:13:37,2018-08-09 16:17:58,4m - 21.864s,PASSED
comment,,Kelola Stock - View,2018-08-09 16:13:37,2018-08-09 16:13:37,0.061s,PASSED
comment,,Start Login Test Case,2018-08-09 16:13:37,2018-08-09 16:13:37,0.006s,PASSED
Statement - apkPath = apkName,,,2018-08-09 16:13:37,2018-08-09 16:13:37,0.014s,PASSED
startApplication,,,2018-08-09 16:13:37,2018-08-09 16:14:19,41.639s,PASSED
delay,,,2018-08-09 16:14:19,2018-08-09 16:14:34,15.025s,PASSED
"Comment - ""If there is a Update TopuUp, click No, Else you can delay for waiting lazyload """,,,2018-08-09 16:14:34,2018-08-09 16:14:34,0.002s,PASSED
Statement - driver = com.kms.katalon.core.mobile.keyword.internal.MobileDriverFactory.getDriver(),,"If there is a Update TopuUp, click No, Else you can delay for waiting lazyload ",2018-08-09 16:14:34,2018-08-09 16:14:34,0.013s,PASSED
Statement - action = new io.appium.java_client.TouchAction(driver),,,2018-08-09 16:14:34,2018-08-09 16:14:34,0.021s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-08-09 16:14:34,2018-08-09 16:14:36,2.578s,PASSED
delay,,,2018-08-09 16:14:36,2018-08-09 16:14:44,8.005s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-08-09 16:14:44,2018-08-09 16:14:47,2.686s,PASSED
delay,,,2018-08-09 16:14:47,2018-08-09 16:14:55,8.004s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-08-09 16:14:55,2018-08-09 16:14:58,2.840s,PASSED
delay,,,2018-08-09 16:14:58,2018-08-09 16:15:06,8.006s,PASSED
"Statement - action.longPress(550, 300).moveTo(100, 300).release().perform()",,,2018-08-09 16:15:06,2018-08-09 16:15:09,2.517s,PASSED
delay,,,2018-08-09 16:15:09,2018-08-09 16:15:17,8.004s,PASSED
waitForElementPresent,,,2018-08-09 16:15:17,2018-08-09 16:15:23,6.561s,PASSED
tap,,,2018-08-09 16:15:23,2018-08-09 16:15:29,5.581s,PASSED
waitForElementPresent,,Wait until Nomor HP/Nama Pengguna Textbox present,2018-08-09 16:15:29,2018-08-09 16:15:36,6.837s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action  ,2018-08-09 16:15:36,2018-08-09 16:15:41,5.111s,PASSED
setText,,SetText to Nomor HP/Nama Pengguna Textbox,2018-08-09 16:15:41,2018-08-09 16:16:01,19.918s,PASSED
hideKeyboard,,Hide Keyboard,2018-08-09 16:16:01,2018-08-09 16:16:02,1.759s,PASSED
verifyElementText,,Verify Element Nomor HP/Nama Pengguna which has been you set  ,2018-08-09 16:16:02,2018-08-09 16:16:06,3.647s,PASSED
waitForElementPresent,,Wait until Masuk Button  present,2018-08-09 16:16:06,2018-08-09 16:16:12,5.610s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action ,2018-08-09 16:16:12,2018-08-09 16:16:18,6.478s,PASSED
tap,,Click Masuk Button,2018-08-09 16:16:18,2018-08-09 16:16:24,5.575s,PASSED
waitForElementPresent,,Wait until Input Pin Textbox  present,2018-08-09 16:16:24,2018-08-09 16:16:28,4.113s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Pin Textbox  with content-desc  to do action ,2018-08-09 16:16:28,2018-08-09 16:16:32,4.162s,PASSED
tap,,Click Input Pin TextBox,2018-08-09 16:16:32,2018-08-09 16:16:37,5.342s,PASSED
setText,,SetText to PIN Textbox,2018-08-09 16:16:37,2018-08-09 16:17:04,26.567s,PASSED
delay,,,2018-08-09 16:17:04,2018-08-09 16:17:09,5.011s,PASSED
comment,,End Login Test Case,2018-08-09 16:17:09,2018-08-09 16:17:09,0.006s,PASSED
waitForElementPresent,,Wait until HamburgerButton on the Sidebar  present,2018-08-09 16:17:09,2018-08-09 16:17:12,2.720s,PASSED
verifyElementAttributeValue,,Verify Element HamburgerButton that have value content desc to do action,2018-08-09 16:17:12,2018-08-09 16:17:16,4.853s,PASSED
tap,,Click Hamburger Button,2018-08-09 16:17:16,2018-08-09 16:17:23,6.384s,PASSED
waitForElementPresent,,Wait until Produk Button on the Sidebar  present,2018-08-09 16:17:23,2018-08-09 16:17:28,4.954s,PASSED
verifyElementAttributeValue,,Verify Element Produk Button that have value content desc to do action,2018-08-09 16:17:28,2018-08-09 16:17:35,6.999s,PASSED
tap,,Click Produk Button,2018-08-09 16:17:35,2018-08-09 16:17:44,9.668s,PASSED
verifyElementVisible,,Verify Onboarding Produk screen if element is visible,2018-08-09 16:17:44,2018-08-09 16:17:50,5.331s,PASSED
delay,,,2018-08-09 16:17:50,2018-08-09 16:17:55,5.005s,PASSED
closeApplication,,,2018-08-09 16:17:55,2018-08-09 16:17:58,3.600s,PASSED
,,,,,,
Test Cases/Story 26 dan 842 -Kelola Stok Final/26 TC 2 - Search by selected Product Category,,Search by selected Product Category,2018-08-09 16:17:58,2018-08-09 16:22:01,4m - 2.987s,FAILED
comment,,Search by selected Product Category,2018-08-09 16:17:59,2018-08-09 16:17:59,0.003s,PASSED
comment,,Start apps and than Login,2018-08-09 16:17:59,2018-08-09 16:17:59,0.001s,PASSED
Statement - apkPath = apkName,,,2018-08-09 16:17:59,2018-08-09 16:17:59,0.000s,PASSED
startApplication,,,2018-08-09 16:17:59,2018-08-09 16:18:17,18.530s,PASSED
delay,,,2018-08-09 16:18:17,2018-08-09 16:18:32,15.009s,PASSED
waitForElementPresent,,Wait until Nomor HP/Nama Pengguna Textbox present,2018-08-09 16:18:32,2018-08-09 16:18:36,4.033s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action  ,2018-08-09 16:18:36,2018-08-09 16:18:41,4.471s,PASSED
setText,,SetText to Nomor HP/Nama Pengguna Textbox,2018-08-09 16:18:41,2018-08-09 16:19:02,21.244s,PASSED
hideKeyboard,,Hide Keyboard,2018-08-09 16:19:02,2018-08-09 16:19:04,2.121s,PASSED
verifyElementText,,Verify Element Nomor HP/Nama Pengguna which has been you set  ,2018-08-09 16:19:04,2018-08-09 16:19:08,3.856s,PASSED
waitForElementPresent,,Wait until Masuk Button  present,2018-08-09 16:19:08,2018-08-09 16:19:15,6.472s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action ,2018-08-09 16:19:15,2018-08-09 16:19:20,5.118s,PASSED
tap,,Click Masuk Button,2018-08-09 16:19:20,2018-08-09 16:19:28,8.520s,PASSED
waitForElementPresent,,Wait until Input Pin Textbox  present,2018-08-09 16:19:28,2018-08-09 16:19:32,4.118s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Pin Textbox  with content-desc  to do action ,2018-08-09 16:19:32,2018-08-09 16:19:41,8.612s,PASSED
tap,,Click Input Pin TextBox,2018-08-09 16:19:41,2018-08-09 16:19:49,8.567s,PASSED
setText,,SetText to PIN Textbox,2018-08-09 16:19:49,2018-08-09 16:20:11,21.595s,PASSED
delay,,,2018-08-09 16:20:11,2018-08-09 16:20:16,5.009s,PASSED
comment,,End Login Test Case,2018-08-09 16:20:16,2018-08-09 16:20:16,0.007s,PASSED
waitForElementPresent,,Wait until HamburgerButton on the Sidebar  present,2018-08-09 16:20:16,2018-08-09 16:20:21,4.724s,PASSED
verifyElementAttributeValue,,Verify Element HamburgerButton that have value content desc to do action,2018-08-09 16:20:21,2018-08-09 16:20:28,7.709s,PASSED
tap,,Click Hamburger Button,2018-08-09 16:20:28,2018-08-09 16:20:33,4.458s,PASSED
waitForElementPresent,,Wait until Produk Button on the Sidebar  present,2018-08-09 16:20:33,2018-08-09 16:20:38,4.960s,PASSED
verifyElementAttributeValue,,Verify Element Produk Button that have value content desc to do action,2018-08-09 16:20:38,2018-08-09 16:20:45,7.553s,PASSED
tap,,Click Produk Button,2018-08-09 16:20:45,2018-08-09 16:20:58,12.675s,PASSED
verifyElementVisible,,Verify Onboarding Produk screen if element is visible,2018-08-09 16:20:58,2018-08-09 16:21:03,5.296s,PASSED
comment,,,2018-08-09 16:21:03,2018-08-09 16:21:03,0.006s,PASSED
waitForElementPresent,,Wait until Product All Category DropDown present,2018-08-09 16:21:03,2018-08-09 16:21:06,2.655s,PASSED
verifyElementAttributeValue,,Verify Element Product All Category DropDown has Attribute  content-desc  to do action  ,2018-08-09 16:21:06,2018-08-09 16:21:10,4.082s,PASSED
tap,,Click Product All Category DropDown,2018-08-09 16:21:10,2018-08-09 16:21:17,6.637s,PASSED
waitForElementPresent,,Wait until List Kategori - Elemen 2 present,2018-08-09 16:21:17,2018-08-09 16:21:21,3.890s,PASSED
verifyElementAttributeValue,,Verify Element List Kategori - Elemen 2 has Attribute  content-desc  to do action  ,2018-08-09 16:21:21,2018-08-09 16:21:26,5.118s,PASSED
tap,,Click List Kategori - Elemen 2,2018-08-09 16:21:26,2018-08-09 16:21:33,7.132s,PASSED
comment,,Make Condition To Check if it's have a product or not,2018-08-09 16:21:33,2018-08-09 16:21:33,0.005s,PASSED
delay,,,2018-08-09 16:21:33,2018-08-09 16:21:38,5.009s,PASSED
"Statement - If (com.kms.katalon.core.mobile.keyword.MobileBuiltInKeywords.verifyElementVisible(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Sidebar Menu/Produk/Stock View/List Produk - Elemen 1), G_ShortTimeOut, CONTINUE_ON_FAILURE))",,If it's have a product,2018-08-09 16:21:38,2018-08-09 16:21:49,10.542s,FAILED
Statement - Else,,,2018-08-09 16:21:49,2018-08-09 16:21:53,4.578s,PASSED
delay,,,2018-08-09 16:21:53,2018-08-09 16:21:58,5.006s,PASSED
closeApplication,,,2018-08-09 16:21:58,2018-08-09 16:22:01,3.243s,PASSED
,,,,,,
Test Cases/Story 26 dan 842 -Kelola Stok Final/26 TC 3 - Search by specific product,,Search by specific product,2018-08-09 16:22:01,2018-08-09 16:26:38,4m - 37.031s,PASSED
comment,,Search by specific product,2018-08-09 16:22:02,2018-08-09 16:22:02,0.002s,PASSED
comment,,Start apps and than Login,2018-08-09 16:22:02,2018-08-09 16:22:02,0.001s,PASSED
Statement - apkPath = apkName,,,2018-08-09 16:22:02,2018-08-09 16:22:02,0.001s,PASSED
startApplication,,,2018-08-09 16:22:02,2018-08-09 16:22:17,15.513s,PASSED
delay,,,2018-08-09 16:22:17,2018-08-09 16:22:32,15.008s,PASSED
waitForElementPresent,,Wait until Nomor HP/Nama Pengguna Textbox present,2018-08-09 16:22:32,2018-08-09 16:22:38,5.336s,PASSED
verifyElementAttributeValue,,Verify Element Attribute Nomor HP/Nama Pengguna  with content-desc  to do action  ,2018-08-09 16:22:38,2018-08-09 16:22:42,4.133s,PASSED
