Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Story 35 - Tambah Barang,,,2018-07-10 16:36:20,2018-07-10 16:50:09,13m - 48.789s,FAILED
,,,,,,
Test Cases/Story 35 and 921 -Tambah Barang/35 TC 1,,Display Tambah Barang Form,2018-07-10 16:36:21,2018-07-10 16:40:58,4m - 37.205s,PASSED
comment,,,2018-07-10 16:36:21,2018-07-10 16:36:22,0.046s,PASSED
comment,,,2018-07-10 16:36:22,2018-07-10 16:36:22,0.003s,PASSED
callTestCase,,,2018-07-10 16:36:22,2018-07-10 16:40:42,4m - 20.435s,PASSED
waitForElementPresent,,,2018-07-10 16:40:42,2018-07-10 16:40:46,3.557s,PASSED
verifyElementAttributeValue,,,2018-07-10 16:40:46,2018-07-10 16:40:54,8.152s,PASSED
tap,,,2018-07-10 16:40:54,2018-07-10 16:40:58,4.798s,PASSED
,,,,,,
Test Cases/Story 35 and 921 -Tambah Barang/35 TC 2,,Increase or decrease product stock,2018-07-10 16:40:58,2018-07-10 16:45:29,4m - 30.389s,PASSED
comment,,,2018-07-10 16:40:59,2018-07-10 16:40:59,0.001s,PASSED
Statement - For (def index : (0..10)),,,2018-07-10 16:40:59,2018-07-10 16:43:52,2m - 53.312s,PASSED
Statement - For (def index : (0..5)),,,2018-07-10 16:43:52,2018-07-10 16:45:29,1m - 36.787s,PASSED
,,,,,,
Test Cases/Story 35 and 921 -Tambah Barang/35 TC 3,,user update stock when specifies stock = -(minus),2018-07-10 16:45:29,2018-07-10 16:48:13,2m - 43.773s,PASSED
comment,,,2018-07-10 16:46:19,2018-07-10 16:46:19,0.004s,PASSED
waitForElementPresent,,,2018-07-10 16:46:19,2018-07-10 16:46:26,7.706s,PASSED
verifyElementAttributeValue,,,2018-07-10 16:46:26,2018-07-10 16:46:31,5.140s,PASSED
clearText,,,2018-07-10 16:46:31,2018-07-10 16:46:48,16.792s,PASSED
setText,,,2018-07-10 16:46:48,2018-07-10 16:47:24,35.928s,PASSED
